long_label	short_label
ICEHin1056_orf44.txt	orf44
ICEHin1056_orf45.txt	orf45
ICEHin1056_orf46.txt	orf46
ICEHin1056_orf47.txt	orf47
ICEHin1056_orf48.txt	orf48
ICEHin1056_orf49.txt	orf49
ICEHin1056_orf50.txt	orf50
ICEHin1056_orf51.txt	orf51
ICEHin1056_orf52.txt	orf52
ICEHin1056_orf53.txt	orf53
ICEHin1056_orf62.txt	orf62
ICEKp1_orf41.txt	orf41
ICEKp1_orf42.txt	orf42
ICEKp1_orf43.txt	orf43
ICEKp1_orf44.txt	orf44
ICEKp1_orf46.txt	orf46
ICEKp1_orf47.txt	orf47
ICEKp1_orf48.txt	orf48
ICEKp1_orf49.txt	orf49
ICEKp1_orf50.txt	orf50
ICEKp1_orf55.txt	orf55
ICEKp1_orf56.txt	orf56
ICEM_orf5.txt	orf5
ICEM_orf8.txt	orf8
ICEM_orf9.txt	orf9
ICEM_orf10.txt	orf10
ICEM_orf13.txt	orf13
ICEM_orf15.txt	orf15
ICEM_orf16.txt	orf16
ICEM_orf17.txt	orf17
ICEM_orf18.txt	orf18
ICEM_orf19.txt	orf19
ICEM_orf20.txt	orf20
Sa2603_summary_11.txt	orf11
Sa2603_summary_12.txt	orf12
Sa2603_summary_35.txt	orf35
Sa2603_summary_39.txt	orf39
Sa2603_summary_40.txt	orf40
Sa2603_summary_41.txt	orf41
Sa2603_summary_42.txt	orf42
Sa2603_summary_43.txt	orf43
Sa2603_summary_44.txt	orf44
Sa2603_summary_45.txt	orf45
Sa2603_summary_46.txt	orf46
Sa2603_summary_47.txt	orf47
Sa2603_summary_48.txt	orf48
ICESt1_orf19.txt	orf19
ICESt1_orf20.txt	orf20
ICESt1_orf21.txt	orf21
ICESt1_orf22.txt	orf22
ICESt1_orf24.txt	orf24
ICESt1_orf25.txt	orf25
ICESt1_orf26.txt	orf26
ICESt1_orf27.txt	orf27
ICESt1_orf28.txt	orf28
ICESt1_orf29.txt	orf29
ICESt1_orf31.txt	orf31
ICEYe1_orf15.txt	orf15
ICEYe1_orf41.txt	orf41
ICEYe1_orf42.txt	orf42
ICEYe1_orf43.txt	orf43
ICEYe1_orf44.txt	orf44
ICEYe1_orf45.txt	orf45
ICEYe1_orf49.txt	orf49
ICEYe1_orf51.txt	orf51
ICEYe1_orf52.txt	orf52
ICEYe1_orf53.txt	orf53
ICEYe1_orf54.txt	orf54
ICEYe1_orf55.txt	orf55
ICEYe1_orf56.txt	orf56
ICEYe1_orf57.txt	orf57
ICEYe1_orf64.txt	orf64
ICEYe1_orf65.txt	orf65
ICEYe1_orf66.txt	orf66
ICEYe1_orf68.txt	orf68
ICEYe1_orf69.txt	orf69
ICEYe1_orf75.txt	orf75
PAPI_1_orf33.txt	orf33
PAPI_1_orf34.txt	orf34
PAPI_1_orf35.txt	orf35
PAPI_1_orf36.txt	orf36
PAPI_1_orf37.txt	orf37
PAPI_1_orf38.txt	orf38
PAPI_1_orf39.txt	orf39
PAPI_1_orf40.txt	orf40
PAPI_1_orf41.txt	orf41
PAPI_1_orf42.txt	orf42
PAPI_1_orf67.txt	orf67
PAPI_1_orf68.txt	orf68
PAPI_1_orf72.txt	orf72
PAPI_1_orf73.txt	orf73
PAPI_1_orf87.txt	orf87
PAPI_1_orf88.txt	orf88
PAPI_1_orf89.txt	orf89
PAPI_1_orf90.txt	orf90
PAPI_1_orf92.txt	orf92
PAPI_1_orf93.txt	orf93
PAPI_1_orf94.txt	orf94
PAPI_1_orf95.txt	orf95
PAPI_1_orf100.txt	orf100
PAPI_1_orf103.txt	orf103
PAPI_1_orf114.txt	orf114
TraI	TraI
TraD	TraD
TraJ	TraJ
TraL	TraL
TraE	TraE
TraK	TraK
TraB	TraB
TraV	TraV
TraA	TraA
TraC	TraC
TraW	TraW
TraU	TraU
TraN	TraN
TraF	TraF
TraH	TraH
TraG	TraG
SPI_7_orf27.txt	orf27
SPI_7_orf30.txt	orf30
SPI_7_orf38.txt	orf38
SPI_7_orf39.txt	orf39
SPI_7_orf40.txt	orf40
SPI_7_orf42.txt	orf42
SPI_7_orf43.txt	orf43
SPI_7_orf44.txt	orf44
SPI_7_orf46.txt	orf46
SPI_7_orf47.txt	orf47
SPI_7_orf48.txt	orf48
SPI_7_orf49.txt	orf49
SPI_7_orf50.txt	orf50
SPI_7_orf51.txt	orf51
SPI_7_orf52.txt	orf52
SPI_7_orf53.txt	orf53
SPI_7_orf54.txt	orf54
SPI_7_orf55.txt	orf55
SPI_7_orf56.txt	orf56
SPI_7_orf58.txt	orf58
SPI_7_orf140.txt	orf140
SPI_7_orf141.txt	orf141
SPAP_0869.txt	orf0869
SPAP_0880.txt	orf0880
SPAP_0881.txt	orf0881
SPAP_0882.txt	orf0882
SPAP_0883.txt	orf0883
SPAP_0884.txt	orf0884
SPAP_0887.txt	orf0887
SPAP_0888.txt	orf0888
SPAP_0889.txt	orf0889
SPAP_0891.txt	orf0891
SPAP_0892.txt	orf0892
SPAP_0900.txt	orf0900
SPAP_0901.txt	orf0901
Tn4371_orf27.txt	orf27
Tn4371_orf28.txt	orf28
Tn4371_orf42.txt	orf42
Tn4371_orf44.txt	orf44
Tn4371_orf45.txt	orf45
Tn4371_orf46.txt	orf46
Tn4371_orf47.txt	orf47
Tn4371_orf49.txt	orf49
Tn4371_orf50.txt	orf50
Tn4371_orf51.txt	orf51
Tn4371_orf52.txt	orf52
Tn5253_orf75.protein.5	orf75
Tn5253_orf74.protein.4	orf74
Tn5253_orf18.protein.13	orf18
Tn5253_orf17.protein.4	orf17
Tn5253_orf16.protein.5	orf16
Tn5253_orf15.protein.7	orf15
Tn5253_orf13.protein.11	orf13
Tn5801_SAV0397.txt	SAV0397
Tn5801_SAV0399.txt	SAV0399
Tn5801_SAV0400.txt	SAV0400
Tn5801_SAV0401.txt	SAV0401
Tn5801_SAV0404.txt	SAV0404
Tn5801_SAV0405.txt	SAV0405
Tn5801_SAV0406.txt	SAV0406
Tn5801_SAV0407.txt	SAV0407
Tn5801_SAV0408.txt	SAV0408
Tn5801_SAV0409.txt	SAV0409
Tn5801_SAV0410.txt	SAV0410
Tn916.orf23.protein.6	orf23
Tn916.orf22.protein.6	orf22
Tn916.orf21.protein.6	orf21
Tn916.orf20.protein.14	orf20
Tn916.orf19.protein.1	orf19
Tn916.orf18.protein.6	orf18
Tn916.orf17.protein.9	orf17
Tn916.orf16.protein.14	orf16
Tn916.orf15.protein.17	orf15
Tn916.orf14.protein.9	orf14
Tn916.orf13.protein.11	orf13
TnGBS1_gbs0384.txt	gbs0384
TnGBS1_gbs0386.txt	gbs0386
TnGBS1_gbs0391.txt	gbs0391
TnGBS1_gbs0392.txt	gbs0392
TnGBS1_gbs0393.txt	gbs0393
TnGBS1_gbs0396.txt	gbs0396
TnGBS1_gbs0398.txt	gbs0398
TnGBS1_gbs0402.txt	gbs0402
TnGBS1_gbs0404.txt	gbs0404
tripartite_orf29.txt	orf29
tripartite_orf30.txt	orf30
tripartite_orf31.txt	orf31
tripartite_orf32.txt	orf32
tripartite_orf33.txt	orf33
tripartite_orf34.txt	orf34
tripartite_orf35.txt	orf35
tripartite_orf36.txt	orf36
tripartite_orf37.txt	orf37
tripartite_orf39.txt	orf39
tripartite_orf43.txt	orf43
tripartite_orf44.txt	orf44
tripartite_orf46.txt	orf46
tripartite_orf105.txt	orf105
tripartite_orf106.txt	orf106
tripartite_orf107.txt	orf107
tripartite_orf108.txt	orf108
tripartite_orf109.txt	orf109
tripartite_orf110.txt	orf110
tripartite_orf111.txt	orf111
tripartite_orf112.txt	orf112
tripartite_orf113.txt	orf113
tripartite_orf114.txt	orf114
tripartite_orf115.txt	orf115
tripartite_orf119.txt	orf119
